"","study_id","__GMC","12m post boost child_PCV10 (Pneumosil)_GMC","12m post boost child_PCV10 (Pneumosil)_OPA","12m post boost child_PCV10 (Synflorix)_GMC","12m post boost child_PCV10 (Synflorix)_OPA","1m post 2nd primary dose child_PCV13_GMC","1m post 2nd primary dose child_PCV7_GMC","1m post boost child_PCV10 (Pneumosil)_GMC","1m post boost child_PCV10 (Pneumosil)_OPA","1m post boost child_PCV10 (Synflorix)_GMC","1m post boost child_PCV10 (Synflorix)_OPA","1m post boost child_PCV13_GMC","1m post boost child_PCV13_IgG","1m post boost child_PCV13_OPA","1m post boost child_PCV13+PCV15_GMC","1m post boost child_PCV13+PCV15_IgG","1m post boost child_PCV13+PCV15_OPA","1m post boost child_PCV13+PPV23_IgG","1m post boost child_PCV13+PPV23_OPA","1m post boost child_PCV15_GMC","1m post boost child_PCV15_IgG","1m post boost child_PCV15_OPA","1m post boost child_PCV15 (high dose)_IgG","1m post boost child_PCV15 (medium dose)_IgG","1m post boost child_PCV15+PPV23_IgG","1m post boost child_PCV15+PPV23_OPA","1m post boost child_PCV7_GMC","1m post boost child_PCV7_OPA","1m post dose 1 adult_PCV10 (Pneumosil)_GMC","1m post dose 1 adult_PCV10 (Pneumosil)_OPA","1m post dose 1 adult_PCV13_GMC","1m post dose 1 adult_PCV13_OPA","1m post dose 1 adult_PCV15_GMC","1m post dose 1 adult_PCV15_OPA","1m post dose 1 adult_PCV15 (high dose)_IgG","1m post dose 1 adult_PCV15 (medium dose)_IgG","1m post dose 1 adult_PCV20_OPA","1m post dose 1 adult_PPV23_GMC","1m post dose 1 adult_PPV23_OPA","1m post dose 1 child_PCV13_IgG","1m post dose 1 child_PCV15_IgG","1m post dose 2 adult_PCV13+PCV20_OPA","1m post dose 2 adult_PCV13+PPV23_GMC","1m post dose 2 adult_PCV13+PPV23_OPA","1m post dose 2 adult_PCV15_OPA","1m post dose 2 adult_PCV15+PPV23_GMC","1m post dose 2 adult_PCV15+PPV23_OPA","1m post dose 2 adult_PCV20+PPV23_OPA","1m post dose 2 child_PCV13_IgG","1m post dose 2 child_PCV15_IgG","1m post dose 3 adult_PCV13+PCV20+PPV23_OPA","1m post primary child_PCV10 (Pneumosil)_GMC","1m post primary child_PCV10 (Pneumosil)_OPA","1m post primary child_PCV10 (Synflorix)_GMC","1m post primary child_PCV10 (Synflorix)_OPA","1m post primary child_PCV13_GMC","1m post primary child_PCV13_IgG","1m post primary child_PCV13_OPA","1m post primary child_PCV13+PCV15_IgG","1m post primary child_PCV15_GMC","1m post primary child_PCV15_IgG","1m post primary child_PCV15_OPA","1m post primary child_PCV7_GMC","1m post primary child_PCV7_OPA","2m post dose 1 adult_PCV13+PPV23_OPA","3m post dose 1 adult_PCV13+PPV23_OPA","3m post dose 2 adult_PCV13+PPV23_OPA","pre-boost child_PCV10 (Pneumosil)_GMC","pre-boost child_PCV10 (Synflorix)_GMC","pre-boost child_PCV13_GMC","pre-boost child_PCV13_IgG","pre-boost child_PCV15_IgG","pre-boost child_PCV7_GMC"
"1","NCT00205803",0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,50,0,0,0,0,0,0,16,0,0,16
"2","NCT00366340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,13,16,0,0,0,0,0,8,0,0,8
"3","NCT00366678",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","NCT00366899",0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"5","NCT00368966",0,0,0,0,0,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","NCT00373958",0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"7","NCT00427895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","NCT00444457",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","NCT00452790",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"10","NCT00474539",0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
