"","study_id","phase","location_continent","standard_age_list","time_frame","assay","dose_number","serotype","value","vaccine","dose_description","schedule","time_frame_weeks"
"1","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"7F",0.64,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"2","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"14",0.71,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"3","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"9V",0.38,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"4","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"6B",0.62,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"5","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"6A",0.73,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"6","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"6A",0.31,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"7","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"5",0.4,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"8","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"6B",0.9,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"9","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"23F",0.29,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"10","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"7F",0.49,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"11","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"9V",0.41,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"12","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"19A",0.66,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"13","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"5",0.34,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"14","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"23F",0.43,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"15","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"14",0.99,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"16","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"19F",0.82,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"17","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"1",0.18,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"18","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"19A",0.91,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"19","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"19F",1.35,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"20","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","IgG",4,"1",0.3,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"21","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"7F",1851.8,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"22","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"7F",1765.9,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"23","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"5",31.6,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"24","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"23F",91.6,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"25","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"1",8.7,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"26","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19A",17.6,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"27","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"14",215.1,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"28","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"1",11,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"29","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19F",133.5,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"30","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19A",89.7,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"31","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"9V",114.5,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"32","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6B",31.1,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"33","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6B",116.3,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"34","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19F",139.8,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"35","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"5",41.4,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"36","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6A",118.1,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"37","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"23F",393.8,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"38","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"9V",158.2,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"39","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"14",193.4,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"40","NCT03197376","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6A",8.3,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"41","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"9V",1229,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"42","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"9V",168.7,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"43","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6A",3063,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"44","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19F",1580,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"45","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19A",645.6,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"46","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6B",1610,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"47","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19F",1592,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"48","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"7F",1438,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"49","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6B",2897,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"50","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"7F",1795,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"51","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"14",866.8,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"52","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"7F",4036,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"53","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"1",344.5,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"54","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"1",99.21,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"55","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"14",1254,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"56","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"14",1401,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"57","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19A",53.15,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"58","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"23F",1213,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"59","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19F",669.9,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"60","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"5",112.9,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"61","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6A",1225,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"62","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"9V",1155,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"63","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"23F",3847,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"64","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6A",39.96,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"65","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"23F",211.7,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"66","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"1",29.76,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"67","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"5",161.2,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"68","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19A",177.5,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"69","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6A",6.44,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"70","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6B",771.4,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"71","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19F",801,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"72","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"9V",417,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"73","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"14",3069,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
