"","clinical_trial_study_id","clinical_trial_sponsor","clinical_trial_phase","location_continent","study_eligibility_standard_age_list","outcome_overview_time_frame","outcome_overview_assay","outcome_overview_dose_number","outcome_overview_serotype","outcome_overview_value","outcome_overview_upper_limit","outcome_overview_lower_limit","outcome_overview_vaccine","outcome_overview_dose_description","outcome_overview_schedule","outcome_overview_time_frame_weeks"
"1","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"23F",0.29,0.34,0.25,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"2","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"23F",0.43,0.48,0.39,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"3","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"19A",0.66,0.78,0.55,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"4","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"7F",0.49,0.55,0.44,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"5","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"1",0.18,0.21,0.16,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"6","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"14",0.71,0.85,0.59,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"7","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"1",0.3,0.32,0.28,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"8","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"14",0.99,1.1,0.89,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"9","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"9V",0.38,0.42,0.35,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"10","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"6B",0.62,0.71,0.55,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"11","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"5",0.4,0.44,0.37,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"12","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"6A",0.73,0.8,0.67,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"13","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"19A",0.91,1.01,0.81,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"14","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"6A",0.31,0.36,0.26,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"15","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"9V",0.41,0.46,0.36,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"16","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"19F",1.35,1.55,1.17,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"17","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"5",0.34,0.39,0.29,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"18","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"19F",0.82,0.92,0.73,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"19","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"7F",0.64,0.69,0.59,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"20","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","GMC",4,"6B",0.9,0.97,0.84,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"21","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"7F",1851.8,2740.5,1251.3,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"22","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"7F",1765.9,2518.8,1238.1,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"23","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"5",31.6,50.1,20,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"24","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"23F",91.6,155.3,54,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"25","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"1",8.7,12.9,5.9,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"26","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19A",17.6,28.3,11,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"27","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"14",215.1,366.6,126.2,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"28","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"1",11,15.1,8,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"29","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19F",133.5,261.1,68.2,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"30","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19A",89.7,160.3,50.2,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"31","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"9V",114.5,205.5,63.8,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"32","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6B",31.1,47.2,20.5,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"33","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6B",116.3,180.6,74.9,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"34","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"19F",139.8,249.8,78.3,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"35","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"5",41.4,62,27.6,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"36","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6A",118.1,226.5,61.6,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"37","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"23F",393.8,707.4,219.3,"PCV10 (Pneumosil)","12m post boost child","3+1 child",96
"38","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"9V",158.2,289.9,86.3,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"39","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"14",193.4,346.6,107.9,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"40","NCT03197376","PATH","Phase 3","Africa","[""Child""]","One year post booster vaccination","OPA",4,"6A",8.3,13.6,5,"PCV10 (Synflorix)","12m post boost child","3+1 child",96
"41","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"9V",1229,1542,979.3,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"42","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"9V",168.7,242.4,117.4,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"43","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6A",3063,4030,2329,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"44","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19F",1580,2099,1190,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"45","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19A",645.6,851,489.7,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"46","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6B",1610,2040,1271,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"47","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19F",1592,2019,1256,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"48","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"7F",1438,1820,1136,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"49","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6B",2897,3714,2259,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"50","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"7F",1795,2205,1461,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"51","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"14",866.8,1296,579.6,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"52","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"7F",4036,4981,3270,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"53","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"1",344.5,453.5,261.8,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"54","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"1",99.21,130.9,75.22,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"55","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"14",1254,1776,885.8,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"56","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"14",1401,2029,967.4,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"57","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"19A",53.15,84.99,33.24,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"58","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"23F",1213,1557,945.7,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"59","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19F",669.9,841.2,533.6,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"60","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"5",112.9,146.9,86.79,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"61","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6A",1225,1666,900,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"62","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"9V",1155,1530,871.4,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"63","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"23F",3847,4996,2962,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"64","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"6A",39.96,69.59,22.94,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"65","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"23F",211.7,315.7,142,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"66","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"1",29.76,40.78,21.73,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"67","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"5",161.2,205,126.8,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"68","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19A",177.5,240.5,131,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"69","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6A",6.44,8.64,4.8,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"70","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6B",771.4,1129,527.2,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"71","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19F",801,1028,624.1,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"72","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"9V",417,537.8,323.3,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"73","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"14",3069,4118,2287,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"74","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"5",360.6,461.2,281.9,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
